title,company,industry,city,state,website
Data Scientist,A Place for Mom,Health Care,Seattle,WA,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=169855&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548332&jobListingId=2548008644
Data Scientist,Planned Systems International,Information Technology,Arlington,VA,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=254637&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548333&jobListingId=2547764252
Data Scientist,HUB International,Insurance,Chicago,IL,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=179990&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548334&jobListingId=2542905303
Data Scientist,Rocket Lawyer,Information Technology,SanFrancisco,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=246924&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548335&jobListingId=2467294490
Data Scientist,Publishers Clearing House,Business Services,Jericho,NY,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=172791&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548342&jobListingId=2524119434
Data Scientist,Publishers Clearing House,Business Services,Jericho,NY,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=172791&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548343&jobListingId=2524119434
Data Scientist,Cisco Systems,Information Technology,SanJose,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=238835&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548344&jobListingId=2547807090
Data Scientist,Amazon,NA,Seattle,WA,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=198596&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548344&jobListingId=2409100278
Data Scientist,Amazon,NA,Seattle,WA,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=198596&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548345&jobListingId=2409100278
Data Scientist,ID Analytics,Information Technology,SanDiego,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=183177&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548345&jobListingId=2524279852
Data Scientist,ID Analytics,Information Technology,SanDiego,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=183177&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548346&jobListingId=2524279852
Data Scientist  Intern,Asana,Information Technology,Francisco,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=220612&tgt=APPLY_START&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cb=1506836548348&jobListingId=2546559281
Data Scientist,Shutterfly,Information Technology,RedwoodCity,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=235066&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548349&jobListingId=2368633574
Data Scientist,Epiworks,Manufacturing,Champaign,IL,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4120&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548350&jobListingId=2338343267
Data Scientist,Westar Energy,Oil Gas Energy amp Utilities,Topeka,KS,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=173064&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548351&jobListingId=2546020618
Data Scientist,Quicken Loans,Finance,Detroit,MI,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=211207&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548352&jobListingId=2465238426
Data Scientist,Progrexion,Business Services,UnitedStates,NA,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=210607&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548354&jobListingId=2536992063
Data Scientist,Wallace Myers International,Business Services,Kerry,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548355&jobListingId=2546206312
