"","Title","Company","City","State","Skills"
"1","Data Scientist","Capital-One","San Francisco"," CA","C++."
"2","Data Scientist - Reliability","Tesla-Motors","Palo Alto"," CA","Python. SQL. C++. statistics."
"3","Quantitative Analyst","BP","Baltimore"," MD","Python. SQL. R. C++."
"4","Data Scientist <U+2013> Junior","Whitney-Bradley-&-Brown","Reston"," VA","Python. SQL. R. C++. Tableau."
"5","Data Scientist (BS/MS/PhD)","Exxonmobil","Kansas City"," MO","Python. SQL. R. SAS. Excel. C++. Tableau."
"6","Data Scientist","Hallmark","Houston"," TX","Python. R. Excel. C++."
"7","Data Scientist","HP","Houston"," TX","Python. SQL. R. C++."
"8","Data Anayltics Intern","Greater-Ny-Insurance-Companies","New York"," NY","Python. SQL. R. SAS. Excel. C++."
"9","Data Scientist","Instant-Technology","United States",NA,"R. C++. Tableau."
"10","DATA SCIENTISTS - ALL LEVELS","Mitre-Corporation","Palo Alto"," CA","Python. SQL. C++. Java."
"11","Machine Learning / Artificial Intelligence Scientist","Ford-Motor-Company","McLean"," VA","NoSQL. R. C++. Java."
"12","2018 Data Scientist Internship","IBM","Baltimore"," MD","SAS. Excel. C++. statistics. Java."
"13","Research Data Analyst","Johns-Hopkins-University","Philadelphia"," PA","Python. R. SAS. C++. Java."
"14","Data Scientist/Data Wrangler","Lenovo","Durham"," NC","C++."
"15","Data Scientist","Humana","Baltimore"," MD","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"16","Data Scientist","Multicare-Health-System","Puyallup"," WA","SQL. C++."
"17","Data Scientist, Analytics","Facebook","Menlo Park"," CA","Python. SQL. R. C++."
"18","Data Scientist","Digitalglobe","Herndon"," VA","R. Excel. C++."
"19","Data Scientist - Entry/Mid-Level","National-Security-Agency","Fort Meade"," MD","C++."
"20","Data Scientist","Huawei","Santa Clara"," CA","Python. R. C++."
"21","Data Scientist","Amazoncom","Seattle"," WA","C++."
"22","Data Scientist","Schneider-Electric","Andover"," MA","Python. R. Excel. C++. statistics. Java."
"23","Data Scientist","Equifax","Atlanta"," GA","Python. SQL. R. SAS. C++. statistics. Tableau."
"24","Data Scientist","Grainger","Chicago"," IL","Python. SQL. R. Excel. C++. statistics. Java."
"25","Data Scientist","American-Greetings","Cleveland"," OH","C++."
"26","Quantitative Analyst","Umpqua-Bank","Hillsboro"," OR","Python. SQL. C++. statistics."
"27","Data Scientist","Digital-First-Media","Denver"," CO","Python. SQL. R. C++."
"28","Data Scientist","Arbor","Baltimore"," MD","Python. SQL. R. C++. Tableau."
"29","Data Scientist, PhD (Temp-to-Hire)","Unc-Health-Care","Chapel Hill"," NC","Python. SQL. R. SAS. Excel. C++. Tableau."
"30","Data Scientist, AI Labs","BAE-Systems","San Francisco"," CA","Python. R. Excel. C++."
"31","Digital Data Scientist","Mercari","New York"," NY","Python. SQL. R. C++."
"32","Data Scientist","JPMorgan-Chase","Reston"," VA","Python. SQL. R. SAS. Excel. C++."
"33","Data Scientist","Mondo","San Francisco"," CA","R. C++. Tableau."
"34","Statistician - Level I","Eaze","Baltimore"," MD","Python. SQL. C++. Java."
"35","Data Scientist","Metabiota","Washington"," DC","NoSQL. R. C++. Java."
"36","Python Engineer","Wayfair","New York"," NY","SAS. Excel. C++. statistics. Java."
"37","Data Scientist, Algorithms","Corning","Boston"," MA","Python. R. SAS. C++. Java."
"38","Data Scientist","Indeed","Seattle"," WA","C++."
"39","Research Programmer - Genetics, next generation sequencing (NGS) data analysis","Sharp-Laboratories-of-America","Santa Ana"," CA","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"40","Entry - Level Scientist","Apple","Santa Clara Valley"," CA","SQL. C++."
"41","Data Scientist, Internet Services Team","Wayfair","Boston"," MA","Python. SQL. R. C++."
"42","Associate Data Scientist","Wex-Inc","South Portland"," ME","R. Excel. C++."
"43","Data Scientist","Here","Seattle"," WA","C++."
"44","Data Scientist, Analytics","J-Crew-Group-Inc","New York"," NY","Python. R. C++."
"45","Data Scientist","Western-Electricity-Coordinating-Council","Salt Lake City"," UT","C++."
"46","Data Scientist - Test & Learn Analytics","Berico-Technologies","Gaithersburg"," MD","Python. R. Excel. C++. statistics. Java."
"47","Data Scientist","Burns-&-Mcdonnell","Kansas City"," MO","Python. SQL. R. SAS. C++. statistics. Tableau."
"48","Data Scientist","Extrahop-Networks-1","Seattle"," WA","Python. SQL. R. Excel. C++. statistics. Java."
"49","Data Scientist","Interactive-Brokers","Palo Alto"," CA","C++."
"50","Data Scientist","Applied-Research-Solutions","Somerville"," MA","Python. SQL. C++. statistics."
"51","Data Scientist","Bonobos","Cincinnati"," OH","Python. SQL. R. C++."
"52","Data Scientist","Csl-Behring","Greenwich"," CT","Python. SQL. R. C++. Tableau."
"53","Data Scientist","Bosch","Washington"," DC","Python. SQL. R. SAS. Excel. C++. Tableau."
"54","Data Scientist","Houzz","King of Prussia"," PA","Python. R. Excel. C++."
"55","Data Scientist","IBM","Mountain View"," CA","Python. SQL. R. C++."
"56","Data Scientist","JPMorgan-Chase","Palo Alto"," CA","Python. SQL. R. SAS. Excel. C++."
"57","Data Scientist - Worldwide Advanced Analytics Team","Gsn-Games","New York"," NY","R. C++. Tableau."
"58","Software Engineer, Machine Learning","Cruise","San Francisco"," CA","Python. SQL. C++. Java."
"59","Data and Analytics Scientist","Freddie-Mac","McLean"," VA","NoSQL. R. C++. Java."
"60","Assoc Data Scientist","Solarwinds","Cambridge"," MA","SAS. Excel. C++. statistics. Java."
"61","Junior Data Analyst - Periscope - Sales Solutions","University-of-Pittsburgh","Pittsburgh"," PA","Python. R. SAS. C++. Java."
"62","Data Scientist - Revenue Optimization","Csra","Remote",NA,"C++."
"63","Data Scientist (Full Time Role)","Boeing","Bellevue"," WA","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"64","Data Scientist","Suntrust","Richmond"," VA","SQL. C++."
"65","Statistician","Raytheon","State College"," PA","Python. SQL. R. C++."
"66","Statistician","Florida-Blue","Jacksonville"," FL","R. Excel. C++."
"67","University Programs: Data Science / Software Engineering Intern","Groupon","Chicago"," IL","C++."
"68","Machine Learning Engineer - Full Time role","Dupont","Johnston"," IA","Python. R. C++."
"69","Data Scientist","John-Deere","Moline"," IL","C++."
"70","Machine Learning Engineer","Bank-of-America","Charlotte"," NC","Python. R. Excel. C++. statistics. Java."
"71","Data Scientist","Sears","Hoffman Estates"," IL","Python. SQL. R. SAS. C++. statistics. Tableau."
"72","Data Scientist","The-Vitality-Group","Chicago"," IL","Python. SQL. R. Excel. C++. statistics. Java."
"73","DATA SCIENTIST","Northrop-Grumman","Herndon"," VA","C++."
"74","Data Scientist Internships (Part-Time, Work Remotely)","Symantec","San Diego"," CA","Python. SQL. C++. statistics."
"75","Data Science Analyst (Intern)","Xentity-Corporation","Philadelphia"," PA","Python. SQL. R. C++."
"76","ISR Cognitive Data Scientist","IBM","High Point"," NC","Python. SQL. R. C++. Tableau."
"77","Data Scientist, Benefits Innovation","Comcast","Hopkinton"," MA","Python. SQL. R. SAS. Excel. C++. Tableau."
"78","GBSC Analyst Data Scientist","Mastercard","San Jose"," CA","Python. R. Excel. C++."
"79","Data Scientist","Brown-University","Duluth"," GA","Python. SQL. R. C++."
"80","Data Scientist","Stubhub","Los Angeles"," CA","Python. SQL. R. SAS. Excel. C++."
"81","Research Data Analyst","Mhmr","Charlotte"," NC","R. C++. Tableau."
"82","Data Scientist Team Lead","Bank-of-America","Little Rock"," AR","Python. SQL. C++. Java."
"83","Quantitative Analyst I","Nationstar-Mortgage","Lafayette"," LA","NoSQL. R. C++. Java."
"84","Data Scientist","Capgemini","Salt Lake City"," UT","SAS. Excel. C++. statistics. Java."
"85","Data Scientist","American-Institutes-For-Research","Cleveland"," OH","Python. R. SAS. C++. Java."
"86","Data Analyst Intern","SAS-Institute","Duluth"," GA","C++."
"87","Data Scientist","Sprinklr","Santa Barbara"," CA","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"88","Statistical Programmer <U+2013> early phase","Agco-Corporation","Keller"," TX","SQL. C++."
"89","Data Scientist, Analytics","Logic2020","San Carlos"," CA","Python. SQL. R. C++."
"90","Regulatory Data Scientist","Change-Healthcare","Santa Clara Valley"," CA","R. Excel. C++."
"91","Data Scientist","Allen-Institute","Home Based",NA,"C++."
"92","Data Scientist-ascena","Symantec","Pataskala"," OH","Python. R. C++."
"93","Data Scientist - Cyber","CGI-Group","McLean"," VA","C++."
"94","Data Scientist","US-Air-Force","Dallas"," TX","Python. R. Excel. C++. statistics. Java."
"95","Senior Scientist Data Sciences","University-of-California---SAN-Francisco","West Chester"," PA","Python. SQL. R. SAS. C++. statistics. Tableau."
"96","Data Scientist / Software Developer <U+2013> Oil and Gas","True-Religion-Brand-Jeans","Houston"," TX","Python. SQL. R. Excel. C++. statistics. Java."
"97","Genomics Data Scientist","Spectrum-1","St. Louis"," MO","C++."
"98","Machine Learning Software Engineer","Two-Sigma","Cupertino"," CA","Python. SQL. C++. statistics."
"99","Machine Learning Engineer #93356","Sharp-Laboratories-of-America","Houston"," TX","Python. SQL. R. C++."
"100","Data Scientist","Nba","Melrose Park"," IL","Python. SQL. R. C++. Tableau."
"101","Data Scientist","Johnson-Controls","Raritan"," NJ","Python. SQL. R. SAS. Excel. C++. Tableau."
"102","Data Engineer","Match","Marshall"," TX","Python. R. Excel. C++."
"103","Computational support for Machine Learning and LSTM","Apple","Louisville"," KY","Python. SQL. R. C++."
